lls0,P_zDM0,P_n0,P_s0,N0,lls1,P_zDM1,P_n1,P_s1,N1,lls2,P_zDM2,P_n2,P_s2,N2,lls3,P_zDM3,P_n3,P_s3,N3,lls4,P_zDM4,P_n4,P_s4,N4,lls,P_zDM,P_n,P_s,p_zgDM,p_DM,p_DMgz,p_z,lEmax
-120.93228208504212,-57.621512313371056,-1.2653187464378035,-62.045451025233255,15.883483355223438,-6.644005064325682,-4.613618645506994,-0.4382407022197642,-1.5921457165989228,1.140931840788004,-49.855380549691674,-30.561097081886594,-0.95493008764086,-18.33935338016422,10.073357110761375,-96.39818138436632,-65.02220868437013,-1.0451963403848212,-30.33077635961138,11.97542384242776,-108.4550289104013,-72.53810452075624,-0.9706369579531103,-34.94628743169195,13.309464283615851,-382.2848779938271,-230.356541245891,-4.674322834636359,-147.25401391329973,-46.34413135700174,-38.25541278232284,-35.459962919470506,-49.13958121985408,41.60204081632653
-120.86511206501831,-57.4963588669753,-1.2564394924123685,-62.11231370563063,15.963342962286426,-6.6740513922076605,-4.6410378945732305,-0.4385257117613228,-1.5944877858731075,1.1461599325541274,-49.86743277324012,-30.581711915044828,-0.9504690521296585,-18.33525180606563,10.022963258886424,-96.23671230223216,-64.94055086014784,-1.0443342071605828,-30.251827234923738,11.987206024822553,-108.60700846050261,-72.56616102124227,-0.9572077808491177,-35.083639658411236,12.949827261970313,-382.25031699320084,-230.22582055798344,-4.64697624431305,-147.37752019090433,-46.33719958321788,-38.32501195535913,-35.44582878235655,-49.216382756220455,41.66326530612245
-120.82921873108945,-57.39305177508187,-1.2471862105735436,-62.18898074543404,16.048728820944003,-6.703340088521707,-4.667976145278699,-0.43873607904409173,-1.5966278641989167,1.1499163957514558,-49.89823055310008,-30.614662273197133,-0.9458440900305279,-18.337724189872418,9.969636959108929,-96.10964676027612,-64.88068685636395,-1.044139709312665,-30.184820194599496,11.989875251972009,-108.76603909687154,-72.5993554140541,-0.9475554723443788,-35.219128210473066,12.578080145696141,-382.30647522985885,-230.15573246397577,-4.6234615613052075,-147.52728120457792,-46.345416061897645,-38.409365443603676,-35.434328859505335,-49.32045264599597,41.724489795918366
-120.82687870578584,-57.31430752772803,-1.2375832453003957,-62.274987932757426,16.13984308614536,-6.731780625185163,-4.694340227972663,-0.43885932112898857,-1.598581076083511,1.1520795080478623,-49.945441839511055,-30.658715575264107,-0.941070658125815,-18.345655606121138,9.913355362007579,-96.01072130270009,-64.84117287881517,-1.044664739898348,-30.124883683986564,11.982679356301892,-108.931044447951,-72.63649053208212,-0.9423935813651736,-35.352160334503715,12.197442494731067,-382.4458669211332,-230.1450267418621,-4.604571545818721,-147.69626863345235,-46.36487875093044,-38.50792229887191,-35.42500247171472,-49.447798578087614,41.785714285714285
-120.85980590379978,-57.262402692310445,-1.2276572460392736,-62.36974596545007,16.236911177254292,-6.759290660274862,-4.720042773967615,-0.4388861894888564,-1.6003616968183907,1.1525475546092379,-50.00685434943302,-30.712649260340196,-0.9361653189588546,-18.35803977013397,9.854090981549387,-95.93589657489358,-64.82070863465201,-1.0459674438831998,-30.069220496358376,11.964953196909516,-109.10107791970358,-72.6765249508408,-0.9423488443366304,-35.48220412452615,11.8110304196037,-382.6629254081048,-230.19232831211104,-4.591025042706814,-147.87957205328695,-46.39230731670483,-38.61987683795934,-35.417463696238954,-49.594720458425215,41.8469387755102
-120.92917877417395,-57.23915507156306,-1.2174410880473758,-62.472582614563514,16.34014720282579,-6.785799968157524,-4.7450051253776095,-0.4388116788244311,-1.6019831639554838,1.1512464901189168,-50.08039793277863,-30.77527408051473,-0.9311476153441063,-18.37397623691979,9.791833452536483,-95.88296240733487,-64.81793258730733,-1.0481184445091243,-30.016911375518433,11.936073261386348,-109.27530258063064,-72.71856387001205,-0.9479471026199381,-35.60879160799866,11.421798182024046,-382.9536416630756,-230.29593073477477,-4.5834659293449755,-148.0742449989559,-46.4250309955464,-38.74414020661039,-35.411389684094104,-49.757781518062686,41.90816326530612
-121.03565368117731,-57.24591948654907,-1.2069729072918836,-62.58276128733636,16.44976411443325,-6.811253371017581,-4.769159362918845,-0.43863591326355406,-1.6034580948351813,1.1481381152072276,-50.16414074566608,-30.8454309261986,-0.9260394899851737,-18.392670329482307,9.726583243805532,-95.85088961551608,-64.83134891331991,-1.0511968120275184,-29.968343890168644,11.895548559422013,-109.45298502402355,-72.76184675687703,-0.9596023063549726,-35.73153596079154,11.032534026448053,-383.3149224374006,-230.45370544586348,-4.5824474289231025,-148.27876956261403,-46.46094109100889,-38.87938023170757,-35.40651126224555,-49.933810060470904,41.96938775510204
-121.1793622944262,-57.28357751802292,-1.1962952643227274,-62.69948951208054,16.56598444123585,-6.835611219487395,-4.792448444278384,-0.43836446680419283,-1.6047983084048176,1.1432226244972759,-50.256281455127564,-30.92198997174808,-0.9208647766418613,-18.41342670673762,9.658345422668026,-95.83913684725857,-64.85932444296827,-1.0552854929731146,-29.924526911317173,11.843103649315989,-109.63347111045059,-72.80573220892742,-0.9776071728488932,-35.85013172867428,10.645842566270451,-383.74386292675035,-230.6630725859451,-4.5884171735907895,-148.49237316721442,-46.498425623238056,-39.02407865690357,-35.40260517884824,-50.119899101293385,42.03061224489796
-121.35990580578965,-57.35251483045525,-1.1854594018753741,-62.82193157345903,16.688994548334048,-6.858848071711198,-4.81482522700418,-0.43800799488131215,-1.606014849825706,1.1365336661909666,-50.3551641318125,-31.003870568478362,-0.9156511429417696,-18.43564242039237,9.587156346454178,-95.84711353746835,-64.90011379140279,-1.0604720810829773,-29.886527664982584,11.778671148371787,-109.8161507953647,-72.84968471001602,-1.0021295306849713,-35.96433655466372,10.264085433097051,-384.2371823421464,-230.9210091273566,-4.601720151466405,-148.7144530633234,-46.5362915533785,-39.17659823718735,-35.39948747849434,-50.3134023120715,42.09183673469388
-121.56275280963453,-57.452597357446564,-1.1609346262430686,-62.94922082594489,16.98981364031336,-6.88153981152817,-4.83625226995344,-0.43816952372420304,-1.6071180178505273,1.1395994871242083,-50.46613777398693,-31.090048851694107,-0.9172863268082894,-18.458802595484535,9.609765425541086,-95.86405354477134,-64.95189533683406,-1.0570224200032978,-29.85513578793399,11.821274332335072,-109.9913812948516,-72.89326362205202,-1.0241671342775969,-36.073950538522006,9.989838018818718,-384.7658652347726,-231.2240574379802,-4.597580031056456,-148.94422776573595,-46.573676096372026,-39.33524642367762,-35.39700764506844,-50.51191487498121,42.1530612244898
-121.78760488200757,-57.58316417941569,-1.1239829937603432,-63.080457708831545,17.52486770713035,-6.9038862370966125,-4.856702410536213,-0.43906643152242975,-1.6081173950379697,1.155655763666177,-50.59011832286614,-31.179552854875674,-0.9280905449609976,-18.482474923029464,9.753022203953268,-95.88665856388624,-65.01282808820663,-1.0430931115077058,-29.830737364171913,12.004310036088429,-110.15248987410774,-72.93611219763721,-1.0375579464427145,-36.17881973002782,9.843102783164746,-385.32075787996433,-231.56835973067143,-4.571791028194191,-149.1806071210987,-46.60997081201484,-39.498332433865386,-35.39504330309997,-50.713259942780255,42.214285714285715
-122.05154355786738,-57.74302912783068,-1.0937838005141511,-63.21473062952254,18.089055018898254,-6.925162322015755,-4.87615907537114,-0.43998136697291723,-1.6090218796716977,1.170675290258814,-50.71757519728263,-31.27145416121477,-0.9398205644820554,-18.506300471585803,9.898394485907994,-95.9253713100166,-65.08111855522834,-1.0309260255847377,-29.81332672920354,12.181959463859434,-110.30867604357476,-72.97794516376753,-1.0518827710956016,-36.27884810871163,9.698542540072731,-385.9283284307571,-231.94970608341248,-4.556394528649463,-149.4222278186952,-46.64476221545349,-39.664216562227466,-35.393495403123566,-50.91548337455738,42.275510204081634
