sbid,scan,nbeam,fch1,foff,nchans,nsamples,tsamp,tstart,srcra,srcdec,goodfrac,nant,ndm,trigger_threshold,pointra,pointdec,footprint,pitch,obsfreq,maxwidth,fmin,fmax,maxdm,obsconfig,w_bandwidth,w_goodfrac,w_nant,tobs,w_tot,t_eff,fbar,bfactors,alt,az
64927,15/20240819133518,35,847.9907407407406,1.0,240.0,4352.0,0.013824,60541.567345111085,295.0028400842621,-63.19911479657641,0.9385076252723312,21.0,256.0,9.0,295.1132772440333,-63.27777755342964,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.9091943083864248,0.8146717551793567,60.162048,0.646031111661626,38.8665547492801,967.9907407407406,1.0233233710359553,53.241755205472074,175.2695460762846
64927,16/20240819133857,35,847.9907407407406,1.0,240.0,4096.0,0.013824,60541.56999727109,293.61666059575845,-62.55824813188652,0.9366319444444444,21.0,256.0,9.0,293.72305305794407,-62.63698286180645,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.9064700268832864,0.8146717551793567,56.623104,0.6440953641632995,36.470678790936375,967.9907407407406,1.0233233710359553,54.01685159676569,176.9099791986224
64927,17/20240819134246,35,847.9907407407406,1.0,240.0,3840.0,0.013824,60541.57257263109,292.2894240119025,-61.90396821073557,0.9345447530864198,21.0,256.0,9.0,292.3919814308257,-61.982735519615616,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.9034417477303844,0.8146717551793567,53.08416,0.6419436100998112,34.07703730951599,967.9907407407406,1.0233233710359553,54.74513667467709,178.625595867686
64927,18/20240819134625,35,847.9907407407406,1.0,240.0,3584.0,0.013824,60541.57517615109,297.5109053070256,-65.31483440611082,0.9292493386243388,21.0,256.0,9.0,297.6324853947376,-65.39515808732021,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.8957738724977735,0.8146717551793567,49.545215999999996,0.6364951752439025,31.535290940417003,967.9907407407406,1.0233233710359553,51.17395578835835,175.99473245941576
64927,19/20240819135004,35,847.9907407407406,1.0,240.0,4096.0,0.013824,60541.57760687109,295.95767717902925,-64.69834914810339,0.9162326388888888,21.0,256.0,9.0,296.07447630286214,-64.77878326182656,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.8770182642929166,0.8146717551793567,56.623104,0.6231683139704554,35.28572425145374,967.9907407407406,1.0233233710359553,51.90662544145567,177.53060422497057
64927,20/20240819135353,35,847.9907407407406,1.0,240.0,4096.0,0.013824,60541.5802475111,294.4749173105493,-64.06658345386805,0.9176938657407409,21.0,256.0,9.0,294.58719314572363,-64.14707637933367,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.8791171309948923,0.8146717551793567,56.623104,0.624659670852257,35.37016950727312,967.9907407407406,1.0233233710359553,52.59669417780351,179.19172514066057
64927,21/20240819135732,35,847.9907407407406,1.0,240.0,3328.0,0.013824,60541.58291375108,293.05875363057777,-63.42049725259619,0.9145121082621084,21.0,256.0,9.0,293.16675168340555,-63.50100445126213,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.8745490854253746,0.8146717551793567,46.006271999999996,0.6214138305184852,28.588933711395327,967.9907407407406,1.0233233710359553,53.23766577415275,180.92746610872777
64927,22/20240819140111,35,847.9907407407406,1.0,240.0,3584.0,0.013824,60541.58543023109,291.7054228623932,-62.760955172178114,0.9043981481481482,21.0,256.0,9.0,291.80937619036604,-62.84143825460711,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.8600812828365405,0.8146717551793567,49.545215999999996,0.6111336841256274,30.278750384879977,967.9907407407406,1.0233233710359553,53.828244286813224,182.7262145949775
64927,23/20240819140639,35,847.9907407407406,1.0,240.0,4352.0,0.013824,60541.58911663108,290.4112962842272,-62.088732873668086,0.927267156862745,21.0,256.0,9.0,290.5114254753274,-62.16915878615483,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.8929092386272595,0.8146717551793567,60.162048,0.6344596998930327,38.17039491903023,967.9907407407406,1.0233233710359553,54.33347606410152,184.94934907270817
64927,24/20240819141208,35,847.9907407407406,1.0,240.0,4352.0,0.013824,60541.59292207109,297.0256377635007,-66.19122384256838,0.9195329520697164,21.0,256.0,9.0,297.14966466907623,-66.27362144959241,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.8817611206232377,0.8146717551793567,60.162048,0.6265383666855527,37.69383129037782,967.9907407407406,1.0233233710359553,50.47910413261602,180.5544420871336
