,Unnamed: 0,sbid,scan,nbeam,fch1,foff,nchans,nsamples,tsamp,tstart,srcra,srcdec,goodfrac,nant,ndm,trigger_threshold,pointra,pointdec,footprint,pitch,obsfreq,maxwidth,fmin,fmax,maxdm,obsconfig,w_bandwidth,w_goodfrac,w_nant,tobs,w_tot,t_eff,fbar,bfactors
1027,1027,68252,00/20241119231754,36,887.9907407407406,1.0,144.0,16128.0,0.003456,60633.9718430311,150.55775708333334,17.770852255122847,0.560511985807215,23.0,700.0,12.0,150.5577570833333,17.77986313888889,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.4196404612988821,0.9368252320701606,55.738368,0.2337563613133846,13.029198089226398,959.9907407407406,0.9780166813525476
1028,1028,68252,00/20241119232103,36,887.9907407407406,1.0,144.0,10496.0,0.003456,60633.974029271085,150.55775708333334,17.770852255122847,0.561449849795807,23.0,700.0,12.0,150.5577570833333,17.77986313888889,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.4206941325997024,0.9368252320701606,36.274176,0.2343432979699161,8.50061003498118,959.9907407407406,0.9780166813525476
1029,1029,68253,00/20241119233055,36,887.9907407407406,1.0,144.0,36352.0,0.003456,60633.98088495109,153.13324291666666,12.317241456743297,0.5601530650494886,23.0,700.0,12.0,153.13324291666663,12.323379972222222,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.4192374541506433,0.9368252320701606,125.632512,0.2335318703663868,29.339195506187536,959.9907407407406,0.9780166813525476
1030,1030,68253,00/20241119233515,36,887.9907407407406,1.0,144.0,18688.0,0.003456,60633.983901911095,153.13324291666666,12.317241456743297,0.5594076449831145,23.0,700.0,12.0,153.13324291666663,12.323379972222222,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.4184008863257448,0.9368252320701606,64.585728,0.2330658689466599,15.052728817872628,959.9907407407406,0.9780166813525476
1031,1031,68253,00/20241119233832,36,887.9907407407406,1.0,144.0,45312.0,0.003456,60633.98618159109,153.13324291666666,12.317241456743297,0.555509088461291,23.0,700.0,12.0,153.13324291666663,12.323379972222222,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.4140347117955519,0.9368252320701606,156.59827199999998,0.2306337367640815,36.11684464215803,959.9907407407406,0.9780166813525476
1032,1032,68254,00/20241119234954,36,887.9907407407406,1.0,144.0,16384.0,0.003456,60633.9940676711,156.27226291666668,7.182744650063057,0.5652239646440669,23.0,700.0,12.0,156.27226291666665,7.186287444444445,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.4249431672273541,0.9368252320701606,56.623104,0.2367101785861945,13.403265059944664,959.9907407407406,0.9780166813525476
1033,1033,68254,00/20241119235303,36,887.9907407407406,1.0,144.0,57088.0,0.003456,60633.9962334311,156.27226291666668,7.182744650063057,0.565011166024167,23.0,700.0,12.0,156.27226291666665,7.186287444444445,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.4247032124125367,0.9368252320701606,197.296128,0.2365765142483522,46.67563023693672,959.9907407407406,0.9780166813525476
1034,1034,68254,00/20241119235832,36,887.9907407407406,1.0,144.0,28160.0,0.003456,60634.00005167109,156.27226291666668,7.182744650063057,0.5645299566849046,23.0,700.0,12.0,156.27226291666665,7.186287444444445,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.4241607603950198,0.9368252320701606,97.32096,0.2362743469849539,22.994446271948828,959.9907407407406,0.9780166813525476
1035,1035,68255,00/20241120001529,36,887.9907407407406,1.0,144.0,62464.0,0.003456,60634.0118327911,159.95992541666664,2.446081034329665,0.5516379348084742,22.0,700.0,12.0,159.95992541666666,2.447281916666667,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.4097143601379044,0.8750385237975271,215.875584,0.2131747991609342,46.01923426294938,959.9907407407406,0.9780166813525476
1036,1036,68256,00/20241120002844,36,887.9907407407406,1.0,144.0,203008.0,0.003456,60634.02105263109,150.55775708333334,17.770852255122847,0.5401380036306419,22.0,700.0,12.0,150.5577570833333,17.77986313888889,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.3969694653642987,0.8750385237975271,701.595648,0.2065436174206208,144.9101031044846,959.9907407407406,0.9780166813525476
