BW    336 #MHz
NFRB 171 #Number of FRBs
BEAM chime_bound_1 #prefix of beam file
TOBS 2.30 # Actually the solid angle of observation!
THRESH 5 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 10 # signal-to-noise threshold: scales jy ms to snr.
TRES 0.983 #ms
FRES 0.0244
FBAR 600 # mean frequency (MHz)
FRB  FRB20181224D  690.7   31.9   11.2    1.600  1 
FRB  FRB20181226C  409.2   94.2   18.8    0.630  1 
FRB  FRB20181228C  509.5   44.4   11.1    0.880  1 
FRB  FRB20181229A  955.9   43.3   23.6    0.376  1 
FRB  FRB20181230C 1036.8   36.5   14.3    0.760  1 
FRB  FRB20181230D  224.8   41.4   13.3    0.419  1 
FRB  FRB20181231B  199.0   48.7   33.2    0.337  1 
FRB  FRB20190103D 1911.9   31.6   10.5    0.000  1 
FRB  FRB20190103E  736.0   45.4    9.1    1.030  1 
FRB  FRB20190104A  548.3  150.4   17.2    0.197  1 
FRB  FRB20190104A  548.3  150.4   17.2    0.800  1 
FRB  FRB20190106A  341.3   90.1    9.6    0.940  1 
FRB  FRB20190106B  315.4  140.5   41.2    0.578  1 
FRB  FRB20190110A  470.7  186.5   29.1    0.203  1 
FRB  FRB20190110B  486.9   46.3   12.3    0.750  1 
FRB  FRB20190110C  221.6   35.3   15.6    0.390  1 
FRB  FRB20190115A 1020.6  185.3   10.4    0.890  1 
FRB  FRB20190116E 1489.7  127.1   11.9    0.607  1 
FRB  FRB20190117D 1175.9   20.4   15.7    1.260  1 
FRB  FRB20190122B  467.5   52.4    9.3    1.920  1 
FRB  FRB20190122A 1229.3   62.7   11.7    5.500  1 
FRB  FRB20190124A 1274.6  175.3   14.4    2.270  1 
FRB  FRB20190125B  177.9   32.9   13.2    2.470  1 
FRB  FRB20190201B  748.9   53.9   19.8    0.800  1 
FRB  FRB20190202B  464.2   69.4   20.2    0.510  1 
FRB  FRB20190210D  357.5  139.6   20.6    0.580  1 
FRB  FRB20190212B  600.1   41.1   29.0    0.226  1 
FRB  FRB20190213C  357.5  176.4    9.9    0.646  1 
FRB  FRB20190213D 1344.1  231.8   18.7    0.626  1 
FRB  FRB20190215B  273.4  135.0   44.5    0.864  1 
FRB  FRB20190217A  797.4  110.0   15.4    0.860  1 
FRB  FRB20190218A 1282.7   29.0   13.7    1.410  1 
FRB  FRB20190219A  655.1   76.7   23.0    1.592  1 
FRB  FRB20190219B 1675.7   32.3   29.1    2.420  1 
FRB  FRB20190219C  805.5  122.9    9.1    2.080  1 
FRB  FRB20190221C 2038.0  216.3   19.3    1.180  1 
FRB  FRB20190222C  522.5   28.0   16.2    0.676  1 
FRB  FRB20190226A  600.1   89.8   10.6    0.453  1 
FRB  FRB20190227A  393.1   62.5   63.4    1.296  1 
FRB  FRB20190227B  331.6   24.3    9.4    0.403  1 
FRB  FRB20190301C  805.5   23.1    9.1    1.240  1 
FRB  FRB20190307B  291.1   52.0   11.8    0.000  1 
FRB  FRB20190308C  498.2   20.8   22.3    0.400  1 
FRB  FRB20190308C  498.2   20.8   22.3    0.550  1 
FRB  FRB20190309A  357.5   59.2    9.3    0.581  1 
FRB  FRB20190317A 1156.5  137.2    9.3    0.710  1 
FRB  FRB20190317B  425.4   81.7    9.9    1.250  1 
FRB  FRB20190317C  601.7   57.0   11.4    1.400  1 
FRB  FRB20190317F 1125.8   41.0   53.6    1.700  1 
FRB  FRB20190320B  490.1   38.3   17.9    0.932  1 
FRB  FRB20190320D 1151.7   54.2   12.5    5.800  1 
FRB  FRB20190322A 1054.6   58.1   19.0    2.830  1 
FRB  FRB20190323A  855.7   71.0   14.7    0.540  1 
FRB  FRB20190323C  380.1   22.6   11.5    0.310  1 
FRB  FRB20190323D  760.2  158.9    9.4    5.430  1 
FRB  FRB20190325B 1730.7   16.6    9.8    1.350  1 
FRB  FRB20190327A  347.8   90.0   31.9    0.302  1 
FRB  FRB20190328A 1303.7   51.9   10.2    7.400  1 
FRB  FRB20190329C 1256.8   60.8   26.7    1.262  1 
FRB  FRB20190330A  509.5   25.4    9.4    0.970  1 
FRB  FRB20190330B  668.0   48.8   44.9    0.342  1 
FRB  FRB20190402A 1287.5   22.2   10.9    5.330  1 
FRB  FRB20190403C  933.3   37.2    9.0    0.870  1 
FRB  FRB20190403F  666.4   69.6   11.9    1.040  1 
FRB  FRB20190404A 1353.8   40.2   24.3    1.360  1 
FRB  FRB20190404B  490.1   45.7  134.0    0.331  1 
FRB  FRB20190414A  812.0   20.2   13.5    1.950  1 
FRB  FRB20190414B  511.1   42.4   13.6    4.570  1 
FRB  FRB20190415B  711.7  144.1   29.6    3.610  1 
FRB  FRB20190415C  648.6  166.9    9.2    0.550  1 
FRB  FRB20190416A 2287.1   39.0   14.6    0.720  1 
FRB  FRB20190416B  574.2   19.4   19.7    0.000  1 
FRB  FRB20190420A  609.8   66.4   15.9    0.770  1 
FRB  FRB20190420C  627.6   33.4   10.7    1.950  1 
FRB  FRB20190422B  975.4   32.1   11.1    3.240  1 
FRB  FRB20190422A  452.9   80.1   18.3    3.220  1 
FRB  FRB20190422A  452.9   80.1   18.3    2.310  1 
FRB  FRB20190422A  452.9   80.1   18.3    2.000  1 
FRB  FRB20190423A  244.2   33.2   39.0    0.414  1 
FRB  FRB20190423A  244.2   33.2   39.0    2.366  1 
FRB  FRB20190426A  341.3   56.5   23.9    0.398  1 
FRB  FRB20190429A  470.7   57.4    9.7    1.250  1 
FRB  FRB20190501B  784.5   44.0   24.3    0.932  1 
FRB  FRB20190501B  784.5   44.0   24.3    0.840  1 
FRB  FRB20190502A  626.0   35.2   67.5    0.849  1 
FRB  FRB20190515A  452.9  159.8   20.9    1.770  1 
FRB  FRB20190517D 1184.0   97.2    9.4    2.300  1 
FRB  FRB20190519D  538.6   29.3   18.6    1.830  1 
FRB  FRB20190519E  693.9   27.6   17.0    0.414  1 
FRB  FRB20190527C  535.4   73.8   48.7    0.491  1 
FRB  FRB20190529A  703.6  164.6   10.6    1.040  1 
FRB  FRB20190531B  166.6   41.7   55.3    0.670  1 
FRB  FRB20190531C  477.2  131.4    9.7    1.450  1 
FRB  FRB20190604E 1218.0   25.4   16.8    0.962  1 
FRB  FRB20190604C  504.7  153.0   45.1    5.410  1 
FRB  FRB20190604G  231.3   49.7   21.1    1.190  1 
FRB  FRB20190607B  289.5  138.4   15.8    0.916  1 
FRB  FRB20190609D  509.5   55.3   16.6    1.580  1 
FRB  FRB20190613B  286.3  170.0   37.7    0.426  1 
FRB  FRB20190614C  585.5   53.8   12.0    2.590  1 
FRB  FRB20190616A  211.9   24.8   14.6    0.654  1 
FRB  FRB20190617C  637.3   42.5   14.1    3.880  1 
FRB  FRB20190619C  486.9   67.9   10.2    0.399  1 
FRB  FRB20190619D  375.3   60.8   13.4    1.390  1 
FRB  FRB20190621B 1059.5   29.0   11.4    1.380  1 
FRB  FRB20190623B 1554.4  141.4   25.3    0.000  1 
FRB  FRB20190625A  297.6   18.6   19.8    3.920  1 
FRB  FRB20190627B  428.6   40.3   56.2    0.444  1 
FRB  FRB20190627D 1999.2  129.0   12.0    0.000  1 
FRB  FRB20190628A  745.7   29.7   10.9    0.477  1 
FRB  FRB20190628C 1740.4   90.8   10.0    4.200  1 
FRB  FRB20190630B  653.5  151.9   48.3    1.870  1 
FRB  FRB20190701A  635.7   52.9   12.1    0.608  1 
FRB  FRB20181119D  595.2  219.3   23.7    5.000  3 
FRB  FRB20190208A  579.1   70.7   12.2    0.760  5 
FRB  FRB20190303A  223.2   31.4   11.2    1.670  3 
FRB  FRB20190417A 1378.1   76.2   13.4    2.990  1 
FRB  FRB20190604A  553.2   32.3   33.8    1.840  2 
